name,time,count,dead,sample1,sample2,dilute1
K562.t0,0,61,5,0.001,0.02,0.0351
K562.t0,0,53,1,0.001,0.02,0.0351
K562.t0,1,57,29,0.01,0.02,
K562.t0,1,41,17,0.01,0.02,
K562.t0,1.94,101,27,0.01,0.02,
K562.t0,1.93,79,19,0.01,0.02,
K562.t0,3.04,187,16,0.01,0.02,
K562.t0,3.04,157,30,0.01,0.02,
K562.t0,3.97,201,42,0.01,0.02,
K562.t0,3.97,230,39,0.01,0.02,
K562.t1,1,111,33,0.001,0.02,0.0167
K562.t1,1,128,21,0.001,0.02,0.0167
K562.t1,1.94,37,22,0.01,0.02,
K562.t1,1.94,52,24,0.01,0.02,
K562.t1,3.04,124,16,0.01,0.02,
K562.t1,3.04,98,25,0.01,0.02,
K562.t1,3.97,157,33,0.01,0.02,
K562.t1,3.97,161,51,0.01,0.02,
K562.t1,4.95,193,51,0.01,0.02,
K562.t1,4.95,187,60,0.01,0.02,
K562.t2,1.93,192,25,0.001,0.02,0.0108
K562.t2,1.93,180,35,0.001,0.02,0.0108
K562.t2,3.04,60,10,0.01,0.02,
K562.t2,3.04,49,12,0.01,0.02,
K562.t2,3.97,88,10,0.01,0.02,
K562.t2,3.97,86,19,0.01,0.02,
K562.t2,4.95,155,38,0.01,0.02,
K562.t2,4.95,196,98,0.01,0.02,
K562.t2,6.01,201,21,0.01,0.02,
K562.t2,6.01,203,18,0.01,0.02,
K562.t3,3.03,261,29,0.001,0.02,0.008
K562.t3,3.03,236,33,0.001,0.02,0.008
K562.t3,3.98,33,105,0.01,0.02,
K562.t3,3.97,38,19,0.01,0.02,
K562.t3,4.95,85,51,0.01,0.02,
K562.t3,4.95,81,69,0.01,0.02,
K562.t3,6.01,140,13,0.01,0.02,
K562.t3,6.01,136,9,0.01,0.02,
K562.t3,6.94,249,13,0.01,0.02,
K562.t3,6.94,206,14,0.01,0.02,
K562.t4,3.96,260,161,0.001,0.02,0.0078
K562.t4,3.96,250,124,0.001,0.02,0.0078
K562.t4,4.96,43,31,0.01,0.02,
K562.t4,4.96,15,34,0.01,0.02,
K562.t4,6.01,76,18,0.01,0.02,
K562.t4,6.01,66,15,0.01,0.02,
K562.t4,6.94,149,18,0.01,0.02,
K562.t4,6.94,144,11,0.01,0.02,
K562.t4,7.95,196,12,0.01,0.02,
K562.t4,7.95,202,17,0.01,0.02,
K562.t5,4.95,252,154,0.001,0.02,0.0076
K562.t5,4.95,271,153,0.001,0.02,0.0076
K562.t5,6.02,25,10,0.01,0.02,
K562.t5,6.01,30,9,0.01,0.02,
K562.t5,6.94,66,8,0.01,0.02,
K562.t5,6.94,59,13,0.01,0.02,
K562.t5,7.96,123,10,0.01,0.02,
K562.t5,7.96,133,18,0.01,0.02,
K562.t5,9,198,20,0.01,0.02,
K562.t5,9,204,24,0.01,0.02,
K562.t6,6.01,226,38,0.001,0.02,0.0083
K562.t6,6.01,256,35,0.001,0.02,0.0083
K562.t6,6.94,21,4,0.01,0.02,
K562.t6,6.94,28,12,0.01,0.02,
K562.t6,7.96,56,7,0.01,0.02,
K562.t6,7.96,50,14,0.01,0.02,
K562.t6,9,99,14,0.01,0.02,
K562.t6,9,126,18,0.01,0.02,
K562.t6,9.95,181,51,0.01,0.02,
K562.t6,9.95,169,22,0.01,0.02,
K562.t7,6.94,285,36,0.001,0.02,0.007
K562.t7,6.94,290,41,0.001,0.02,0.007
K562.t7,7.96,22,12,0.01,0.02,
K562.t7,7.96,21,4,0.01,0.02,
K562.t7,9,60,7,0.01,0.02,
K562.t7,9,48,11,0.01,0.02,
K562.t7,9.95,80,16,0.01,0.02,
K562.t7,9.95,64,14,0.01,0.02,
K562.t7,10.91,154,17,0.01,0.02,
K562.t7,10.91,176,19,0.01,0.02,
